Name,Score,ConsensusRank
SNTG2-AS1,5.42933010411078e-32,1
SSTR1,2.3421438168823005e-28,2
ACP5,7.014573439251747e-21,3
RNY4P34,1.0086404838465116e-20,4
TNFSF15,7.598460608413711e-07,5
NUDT2,0.005611336105344164,6
ACTN2,0.0061862482827188155,7
CTTNBP2,0.01760702914164938,8
RNA5SP425,1.0,9
MIR26B,1.0,10
VPS26C,1.0,11
HSD17B11,1.0,12
PIP4K2A,1.0,13
NES,1.0,14
ZIK1,1.0,15
TSR1,1.0,16
TOR4A,1.0,17
DDX60,1.0,18
GFM2,1.0,19
KLF10,1.0,20
GGH,1.0,21
TMEM45A,1.0,22
CPNE7,1.0,23
FBXO11,1.0,24
ID2,1.0,25
ARHGEF40,1.0,26
ERVV-1,1.0,27
LBP,1.0,28
ST6GALNAC2,1.0,29
FYN,1.0,30
NUDT12,1.0,31
CYP27A1,1.0,32
CERKL,1.0,33
INPP4B,1.0,34
DKK2,1.0,35
MFSD1,1.0,36
RPL17P50,1.0,37
NPC1L1,1.0,38
IRF8,1.0,39
ZFX,1.0,40
ACSS1,1.0,41
GTF2I,1.0,42
BCL11B,1.0,43
RDX,1.0,44
IGLV3-19,1.0,45
AC010536.2,1.0,46
PRMT6,1.0,47
ASXL2,1.0,48
ABCB10,1.0,49
IGKV1-6,1.0,50
FBXL14,1.0,51
EIF3A,1.0,52
LDHAP3,1.0,53
RASEF,1.0,54
DNAJC15,1.0,55
AC000050.2,1.0,56
AC003072.1,1.0,57
CLDN16,1.0,58
RCSD1,1.0,59
SOSTDC1,1.0,60
AGAP9,1.0,61
AC063919.1,1.0,62
EFNA5,1.0,63
MTF1,1.0,64
NPY1R,1.0,65
MMADHC,1.0,66
PLCG2,1.0,67
MT1H,1.0,68
PTK7,1.0,69
KANK1,1.0,70
TNS3,1.0,71
MTMR12,1.0,72
DYNC1LI2,1.0,73
LINC01871,1.0,74
BEST4,1.0,75
HSPA4L,1.0,76
PNPLA8,1.0,77
HCAR1,1.0,78
ASIP,1.0,79
TRDC,1.0,80
CASKIN2,1.0,81
PTBP3,1.0,82
APOL3,1.0,83
PCK2,1.0,84
CACNA1D,1.0,85
ID3,1.0,86
POLR2A,1.0,87
CMTM3,1.0,88
GLYATL2,1.0,89
C1S,1.0,90
INPP4A,1.0,91
CAMSAP1,1.0,92
ABI3,1.0,93
UBE4A,1.0,94
ANK3,1.0,95
CCL11,1.0,96
MCM3AP,1.0,97
H4C2,1.0,98
DDX58,1.0,99
DNAJC14,1.0,100
BTBD7,1.0,101
CST7,1.0,102
RASA1,1.0,103
IGFBP1,1.0,104
AL162253.2,1.0,105
GEMIN5,1.0,106
GJA5,1.0,107
RERE,1.0,108
AC022034.1,1.0,109
FANCA,1.0,110
IGLC3,1.0,111
SEC23B,1.0,112
IGKV1-16,1.0,113
HACD2,1.0,114
RALBP1,1.0,115
ARHGAP28,1.0,116
ACY3,1.0,117
NEK11,1.0,118
ZNF710,1.0,119
DDX18,1.0,120
CTSO,1.0,121
AC234775.2,1.0,122
TMEM176A,1.0,123
SBF2,1.0,124
CDK6,1.0,125
MARCHF7,1.0,126
KLF3,1.0,127
TM9SF2,1.0,128
IGHV3-48,1.0,129
FGF2,1.0,130
AC103591.3,1.0,131
FDXR,1.0,132
ADNP2,1.0,133
SYNE2,1.0,134
SLC4A3,1.0,135
ESYT1,1.0,136
PCDH7,1.0,137
AL031123.5,1.0,138
ZNF395,1.0,139
MIDEAS,1.0,140
TNFAIP6,1.0,141
CCDC3,1.0,142
AQP9,1.0,143
ADCY9,1.0,144
FANCC,1.0,145
WDR44,1.0,146
SPAG9,1.0,147
ZNF462,1.0,148
MARCHF8,1.0,149
CLUH,1.0,150
PLEKHF2,1.0,151
SESTD1,1.0,152
C20orf194,1.0,153
DNAJC22,1.0,154
ADM,1.0,155
SNORD15B,1.0,156
GARRE1,1.0,157
AC084759.3,1.0,158
PPT1,1.0,159
AC073046.1,1.0,160
MAOB,1.0,161
APOA1,1.0,162
H2BC14,1.0,163
SRFBP1,1.0,164
ABCB4,1.0,165
PNMA2,1.0,166
MRPL44,1.0,167
ANKMY2,1.0,168
SERPINB11,1.0,169
RPL7AP10,1.0,170
RNF38,1.0,171
SH2D3C,1.0,172
ENTPD2,1.0,173
SPINK1,1.0,174
LLGL2,1.0,175
ZNF426,1.0,176
SCML1,1.0,177
RUSC2,1.0,178
IFNAR1,1.0,179
TTC30A,1.0,180
IMPACT,1.0,181
NT5E,1.0,182
KRT80,1.0,183
AC120349.1,1.0,184
IVNS1ABP,1.0,185
AC025265.1,1.0,186
CLCNKA,1.0,187
RBM12,1.0,188
EML1,1.0,189
CHMP4C,1.0,190
ARHGAP35,1.0,191
AP000695.2,1.0,192
RIPK4,1.0,193
SPINK13,1.0,194
GTF3C4,1.0,195
RHPN1,1.0,196
RNU6-834P,1.0,197
MAGEC1,1.0,198
ZNF329,1.0,199
KCNH2,1.0,200
AGPAT5,1.0,201
LINC01564,1.0,202
CX3CR1,1.0,203
SORBS2,1.0,204
DNAJC13,1.0,205
C21orf58,1.0,206
TIGIT,1.0,207
SCN4B,1.0,208
RAB11FIP1,1.0,209
ZNF703,1.0,210
RPRD2,1.0,211
PJA2,1.0,212
VWA1,1.0,213
MARS2,1.0,214
NOMO2,1.0,215
BST1,1.0,216
NSMF,1.0,217
JAM2,1.0,218
CUL3,1.0,219
PHLDA3,1.0,220
GOLIM4,1.0,221
SLFN13,1.0,222
ARFGEF2,1.0,223
DUSP2,1.0,224
IGLC7,1.0,225
SP2,1.0,226
SWAP70,1.0,227
MIR6772,1.0,228
TAF4B,1.0,229
LMO2,1.0,230
AC141557.1,1.0,231
TGOLN2,1.0,232
STEAP1,1.0,233
TOR1AIP1,1.0,234
SDE2,1.0,235
MIR1205,1.0,236
POLK,1.0,237
IGDCC3,1.0,238
AGMAT,1.0,239
PALM2AKAP2,1.0,240
ABCA3,1.0,241
IGSF23,1.0,242
TMEM176B,1.0,243
NLRP3,1.0,244
DENND4C,1.0,245
PKN2,1.0,246
CD36,1.0,247
LRRCC1,1.0,248
WASL,1.0,249
GPX2,1.0,250
PPP2R2C,1.0,251
USP53,1.0,252
MUC20,1.0,253
DHRS7,1.0,254
RMND5A,1.0,255
LILRA4,1.0,256
ITGB7,1.0,257
NUMB,1.0,258
RC3H2,1.0,259
CISH,1.0,260
ESYT2,1.0,261
WWC2-AS2,1.0,262
AC068299.1,1.0,263
RBBP9,1.0,264
IQGAP1,1.0,265
RXRA,1.0,266
SEMA3D,1.0,267
WFDC5,1.0,268
NLRP6,1.0,269
NEO1,1.0,270
JPH2,1.0,271
NR2F2,1.0,272
TRIM32,1.0,273
POM121,1.0,274
CREBL2,1.0,275
AC084036.1,1.0,276
TREM2,1.0,277
FAR2,1.0,278
JAG1,1.0,279
CACNG4,1.0,280
PRXL2B,1.0,281
ANXA4,1.0,282
ABCC6,1.0,283
SLC12A7,1.0,284
VCAM1,1.0,285
ERBB3,1.0,286
AC102953.2,1.0,287
MID1,1.0,288
SLC39A8,1.0,289
NFKB1,1.0,290
YTHDF3,1.0,291
NCOA1,1.0,292
PIK3C2B,1.0,293
KIDINS220,1.0,294
SNX7,1.0,295
ARL14,1.0,296
CPZ,1.0,297
ATP11C,1.0,298
ARHGAP26,1.0,299
MEGF9,1.0,300
ASPA,1.0,301
ALDH1A3,1.0,302
ABHD17B,1.0,303
AL365226.1,1.0,304
PDGFB,1.0,305
COPS4,1.0,306
SVIL,1.0,307
AGTPBP1,1.0,308
GLRB,1.0,309
HEG1,1.0,310
IGLC2,1.0,311
SYNE1,1.0,312
RECK,1.0,313
PTPN3,1.0,314
SECISBP2,1.0,315
CRYZL2P,1.0,316
ACLY,1.0,317
ERO1B,1.0,318
AP001160.4,1.0,319
NRTN,1.0,320
LIPA,1.0,321
TRBV5-1,1.0,322
TPM1,1.0,323
DLG4,1.0,324
CCDC181,1.0,325
TRBD1,1.0,326
SMIM3,1.0,327
ROR1,1.0,328
AC108752.1,1.0,329
TNXB,1.0,330
AC239859.5,1.0,331
KATNAL1,1.0,332
TFEC,1.0,333
MMP13,1.0,334
LRP3,1.0,335
HAPLN3,1.0,336
KIAA1958,1.0,337
SLC1A3,1.0,338
U91328.1,1.0,339
GAS7,1.0,340
CD2,1.0,341
ZC3H12C,1.0,342
FRYL,1.0,343
ADRA1B,1.0,344
ABLIM3,1.0,345
CASP7,1.0,346
NFATC3,1.0,347
CLEC3B,1.0,348
PRRC2B,1.0,349
TTC9,1.0,350
MPC2,1.0,351
GABRP,1.0,352
EPN2,1.0,353
KLHDC2,1.0,354
MYOM3,1.0,355
PLCB4,1.0,356
UNC119B,1.0,357
AL513304.1,1.0,358
ARHGEF17,1.0,359
SGMS2,1.0,360
NRG1,1.0,361
ANO3,1.0,362
ZBTB21,1.0,363
RNU6-1010P,1.0,364
DOCK1,1.0,365
AKR1B10P1,1.0,366
RARRES1,1.0,367
IGSF11,1.0,368
FLT4,1.0,369
TTC37,1.0,370
CD164,1.0,371
CIPC,1.0,372
DYNC2LI1,1.0,373
CPA4,1.0,374
ABHD2,1.0,375
SLC9B2,1.0,376
IGLV8-61,1.0,377
ERC1,1.0,378
LIMD2,1.0,379
MAP3K3,1.0,380
AC073346.1,1.0,381
