stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000074304	9606.ENSP00000422793	INPP4A	INPP4B	9606	0.911	0	0	0.058	0	0	0.9	0.137
9606.ENSP00000074304	9606.ENSP00000356155	INPP4A	PIK3C2B	9606	0.935	0	0	0	0.055	0	0.9	0.373
9606.ENSP00000160373	9606.ENSP00000317817	CTTNBP2	SH2D3C	9606	0.418	0	0	0	0	0	0	0.419
9606.ENSP00000205557	9606.ENSP00000265723	ABCC6	ABCB4	9606	0.443	0	0	0	0.238	0.076	0	0.271
9606.ENSP00000205557	9606.ENSP00000257770	ABCC6	NT5E	9606	0.457	0	0	0	0.086	0	0	0.43
9606.ENSP00000205557	9606.ENSP00000477502	ABCC6	NOMO2	9606	0.702	0	0	0	0	0.046	0	0.701
9606.ENSP00000216500	9606.ENSP00000267113	DHRS7	ESYT1	9606	0.463	0	0	0	0.062	0.451	0	0
9606.ENSP00000216780	9606.ENSP00000415743	PCK2	CD36	9606	0.463	0	0	0	0.067	0	0	0.448
9606.ENSP00000216780	9606.ENSP00000316924	PCK2	ACSS1	9606	0.871	0	0	0	0.115	0	0.8	0.332
9606.ENSP00000217407	9606.ENSP00000264498	LBP	FGF2	9606	0.411	0	0	0	0	0	0.4	0.06
9606.ENSP00000217407	9606.ENSP00000482457	LBP	PLCG2	9606	0.507	0	0	0	0	0	0	0.507
9606.ENSP00000217407	9606.ENSP00000236850	LBP	APOA1	9606	0.949	0	0	0	0.087	0.292	0	0.928
9606.ENSP00000218758	9606.ENSP00000362205	ACP5	TREM2	9606	0.427	0	0	0	0.188	0	0	0.324
9606.ENSP00000218758	9606.ENSP00000257770	ACP5	NT5E	9606	0.439	0	0	0	0.067	0	0	0.423
9606.ENSP00000218758	9606.ENSP00000226574	ACP5	NFKB1	9606	0.521	0	0	0	0.07	0.132	0.113	0.41
9606.ENSP00000218758	9606.ENSP00000357206	ACP5	NES	9606	0.528	0	0	0	0	0	0	0.528
9606.ENSP00000218758	9606.ENSP00000258415	ACP5	CYP27A1	9606	0.557	0	0	0	0.141	0	0	0.506
9606.ENSP00000218758	9606.ENSP00000230792	ACP5	NUDT12	9606	0.749	0.108	0	0	0	0.132	0.658	0.166
9606.ENSP00000219919	9606.ENSP00000243347	AQP9	TNFAIP6	9606	0.44	0	0	0	0.331	0	0	0.198
9606.ENSP00000223023	9606.ENSP00000315630	WASL	SWAP70	9606	0.432	0	0	0	0.049	0	0.4	0.085
9606.ENSP00000223023	9606.ENSP00000451300	WASL	NUMB	9606	0.472	0	0	0	0.049	0	0	0.467
9606.ENSP00000223023	9606.ENSP00000274376	WASL	RASA1	9606	0.532	0	0	0	0.074	0	0	0.516
9606.ENSP00000223023	9606.ENSP00000496414	WASL	RDX	9606	0.636	0	0	0	0.074	0	0	0.623
9606.ENSP00000223023	9606.ENSP00000500409	WASL	ARHGAP35	9606	0.747	0	0	0	0.063	0	0	0.741
9606.ENSP00000223023	9606.ENSP00000346671	WASL	FYN	9606	0.854	0	0	0	0	0.088	0.5	0.706
9606.ENSP00000223023	9606.ENSP00000268182	WASL	IQGAP1	9606	0.912	0	0	0	0.042	0.177	0.4	0.836
9606.ENSP00000225276	9606.ENSP00000414350	ST6GALNAC2	MUC20	9606	0.448	0	0	0	0.042	0	0.4	0.117
9606.ENSP00000225941	9606.ENSP00000362205	ABI3	TREM2	9606	0.65	0	0	0	0.086	0	0	0.633
9606.ENSP00000225941	9606.ENSP00000482457	ABI3	PLCG2	9606	0.67	0	0	0	0.109	0	0	0.645
9606.ENSP00000226574	9606.ENSP00000351059	NFKB1	CX3CR1	9606	0.402	0	0	0	0	0.045	0	0.4
9606.ENSP00000226574	9606.ENSP00000257770	NFKB1	NT5E	9606	0.408	0	0	0	0.06	0	0.113	0.348
9606.ENSP00000226574	9606.ENSP00000377833	NFKB1	ANXA4	9606	0.41	0	0	0	0.062	0.292	0	0.183
9606.ENSP00000226574	9606.ENSP00000461879	NFKB1	POLR2A	9606	0.418	0	0	0	0.08	0.264	0	0.209
9606.ENSP00000226574	9606.ENSP00000254958	NFKB1	JAG1	9606	0.429	0	0	0	0.064	0.098	0	0.379
9606.ENSP00000226574	9606.ENSP00000409346	NFKB1	CISH	9606	0.44	0	0	0	0.075	0	0	0.419
9606.ENSP00000226574	9606.ENSP00000478490	NFKB1	YTHDF3	9606	0.451	0	0	0	0.066	0	0	0.436
9606.ENSP00000226574	9606.ENSP00000274376	NFKB1	RASA1	9606	0.452	0	0	0	0.049	0.049	0	0.443
9606.ENSP00000226574	9606.ENSP00000270139	NFKB1	IFNAR1	9606	0.464	0	0	0	0.07	0	0	0.447
