stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000002829	9606.ENSP00000351338	SEMA3F	PLXNB1	9606	0.699	0	0	0	0.147	0.186	0	0.601
9606.ENSP00000002829	9606.ENSP00000368314	SEMA3F	NRCAM	9606	0.75	0	0	0	0.045	0.071	0	0.741
9606.ENSP00000005178	9606.ENSP00000415743	PDK4	CD36	9606	0.696	0	0	0	0.203	0	0	0.634
9606.ENSP00000218548	9606.ENSP00000360317	ATP12A	CYP2C8	9606	0.467	0	0	0	0.042	0.042	0.099	0.431
9606.ENSP00000218548	9606.ENSP00000357721	ATP12A	S100A8	9606	0.605	0	0	0	0.075	0.054	0	0.584
9606.ENSP00000218548	9606.ENSP00000260682	ATP12A	CYP2C9	9606	0.637	0	0	0	0.061	0.042	0.099	0.605
9606.ENSP00000218548	9606.ENSP00000265686	ATP12A	TCIRG1	9606	0.927	0	0	0	0	0.093	0	0.923
9606.ENSP00000221954	9606.ENSP00000292432	CEACAM4	HK3	9606	0.438	0	0	0	0.431	0.046	0	0.048
9606.ENSP00000221954	9606.ENSP00000384887	CEACAM4	CEACAM19	9606	0.457	0	0	0	0.082	0	0	0.433
9606.ENSP00000222693	9606.ENSP00000328968	CAV2	SCN5A	9606	0.61	0	0	0	0	0.047	0	0.608
9606.ENSP00000222693	9606.ENSP00000267082	CAV2	ITGB7	9606	0.655	0	0	0	0	0	0.65	0.057
9606.ENSP00000225614	9606.ENSP00000264029	GALK1	TREH	9606	0.457	0.042	0	0	0.042	0	0	0.455
9606.ENSP00000227918	9606.ENSP00000244926	SCGB2A2	SCGB1D2	9606	0.999	0	0	0	0.999	0	0	0.879
9606.ENSP00000228843	9606.ENSP00000261597	RAD51AP1	NDC80	9606	0.525	0	0	0	0.515	0	0	0.06
9606.ENSP00000228843	9606.ENSP00000364976	RAD51AP1	CKS2	9606	0.577	0	0	0	0.378	0	0	0.348
9606.ENSP00000228843	9606.ENSP00000355922	RAD51AP1	CENPF	9606	0.602	0	0	0	0.447	0	0	0.309
9606.ENSP00000228843	9606.ENSP00000362146	RAD51AP1	CDCA8	9606	0.617	0	0	0	0.495	0	0	0.271
9606.ENSP00000228843	9606.ENSP00000302530	RAD51AP1	BUB1	9606	0.724	0	0	0.241	0.512	0	0	0.315
9606.ENSP00000228843	9606.ENSP00000288207	RAD51AP1	CCNB2	9606	0.734	0	0	0	0.462	0	0	0.526
9606.ENSP00000228843	9606.ENSP00000378356	RAD51AP1	KIF20A	9606	0.783	0	0	0	0.519	0	0	0.568
9606.ENSP00000228843	9606.ENSP00000360540	RAD51AP1	CEP55	9606	0.839	0	0	0	0.776	0	0	0.312
9606.ENSP00000228843	9606.ENSP00000378699	RAD51AP1	CDK1	9606	0.844	0	0	0	0.794	0	0	0.274
9606.ENSP00000228843	9606.ENSP00000377492	RAD51AP1	HMMR	9606	0.852	0	0	0	0.782	0	0	0.348
9606.ENSP00000232978	9606.ENSP00000383059	NKTR	ARGLU1	9606	0.411	0	0	0	0.371	0.097	0	0.046
9606.ENSP00000238558	9606.ENSP00000359319	GSC	PAX2	9606	0.594	0	0	0	0	0.572	0	0.091
9606.ENSP00000245960	9606.ENSP00000364976	CDC25B	CKS2	9606	0.453	0	0	0	0.16	0.133	0	0.308
9606.ENSP00000245960	9606.ENSP00000302530	CDC25B	BUB1	9606	0.475	0	0	0	0.158	0	0	0.402
9606.ENSP00000245960	9606.ENSP00000362146	CDC25B	CDCA8	9606	0.512	0	0	0	0.218	0	0	0.402
9606.ENSP00000245960	9606.ENSP00000384849	CDC25B	CDKN1A	9606	0.571	0	0	0	0.11	0	0	0.538
9606.ENSP00000245960	9606.ENSP00000355922	CDC25B	CENPF	9606	0.73	0	0	0	0.156	0	0	0.694
9606.ENSP00000245960	9606.ENSP00000288207	CDC25B	CCNB2	9606	0.847	0	0	0	0.155	0.114	0.5	0.641
9606.ENSP00000245960	9606.ENSP00000378699	CDC25B	CDK1	9606	0.998	0	0	0	0.105	0.807	0.9	0.932
9606.ENSP00000252809	9606.ENSP00000436607	GDF15	ADM	9606	0.538	0	0	0	0.072	0	0	0.523
9606.ENSP00000252809	9606.ENSP00000384849	GDF15	CDKN1A	9606	0.556	0	0	0	0.131	0	0	0.51
9606.ENSP00000254579	9606.ENSP00000401514	DNHD1	DNAH1	9606	0.623	0	0	0	0.216	0	0.54	0
9606.ENSP00000260682	9606.ENSP00000326671	CYP2C9	SLC47A2	9606	0.435	0	0	0	0.067	0	0	0.419
9606.ENSP00000260682	9606.ENSP00000353720	CYP2C9	CES1	9606	0.52	0	0	0	0.055	0.086	0	0.488
9606.ENSP00000260682	9606.ENSP00000359319	CYP2C9	PAX2	9606	0.558	0	0	0	0.048	0	0	0.555
9606.ENSP00000260682	9606.ENSP00000383364	CYP2C9	PLA2G2A	9606	0.688	0	0	0	0.073	0	0.65	0.117
9606.ENSP00000260682	9606.ENSP00000360317	CYP2C9	CYP2C8	9606	0.928	0	0	0.051	0.288	0	0.9	0.061
9606.ENSP00000260682	9606.ENSP00000420168	CYP2C9	GSTA2	9606	0.931	0	0	0	0.101	0.045	0.9	0.298
9606.ENSP00000261597	9606.ENSP00000364976	NDC80	CKS2	9606	0.551	0	0	0	0.538	0.067	0	0
9606.ENSP00000261597	9606.ENSP00000377492	NDC80	HMMR	9606	0.835	0	0	0	0.797	0.173	0	0.094
9606.ENSP00000261597	9606.ENSP00000288207	NDC80	CCNB2	9606	0.875	0	0	0	0.675	0.16	0.4	0.329
9606.ENSP00000261597	9606.ENSP00000378356	NDC80	KIF20A	9606	0.896	0	0	0	0.855	0	0	0.314
9606.ENSP00000261597	9606.ENSP00000362146	NDC80	CDCA8	9606	0.907	0	0	0	0.8	0	0	0.554
9606.ENSP00000261597	9606.ENSP00000360540	NDC80	CEP55	9606	0.914	0	0	0	0.84	0.126	0	0.432
9606.ENSP00000261597	9606.ENSP00000378699	NDC80	CDK1	9606	0.957	0	0	0	0.862	0	0.4	0.524
9606.ENSP00000261597	9606.ENSP00000355922	NDC80	CENPF	9606	0.987	0	0	0	0.853	0	0.72	0.727
9606.ENSP00000261597	9606.ENSP00000302530	NDC80	BUB1	9606	0.998	0	0	0	0.932	0.838	0	0.853
9606.ENSP00000262741	9606.ENSP00000327890	PIK3R3	IL3RA	9606	0.402	0	0	0	0	0	0.4	0.045
9606.ENSP00000262741	9606.ENSP00000268182	PIK3R3	IQGAP1	9606	0.419	0	0	0	0	0	0.4	0.072
9606.ENSP00000262741	9606.ENSP00000482604	PIK3R3	HSH2D	9606	0.421	0	0	0	0	0.421	0	0.042
9606.ENSP00000262741	9606.ENSP00000369400	PIK3R3	NHS	9606	0.435	0	0	0	0	0.097	0.4	0
9606.ENSP00000262741	9606.ENSP00000292408	PIK3R3	FGFR4	9606	0.735	0	0	0	0	0.24	0.65	0.083
9606.ENSP00000264029	9606.ENSP00000292432	TREH	HK3	9606	0.632	0	0	0	0.119	0	0.304	0.448
9606.ENSP00000264638	9606.ENSP00000350364	CNTNAP1	NEGR1	9606	0.443	0	0	0	0.062	0.069	0	0.414
9606.ENSP00000264638	9606.ENSP00000368314	CNTNAP1	NRCAM	9606	0.682	0	0	0	0.089	0.127	0	0.632
9606.ENSP00000265191	9606.ENSP00000295822	NME5	EIF5A2	9606	0.41	0	0	0	0.361	0	0	0.116
9606.ENSP00000265686	9606.ENSP00000449500	TCIRG1	RNASEK	9606	0.895	0	0	0	0.081	0.749	0.54	0.131
9606.ENSP00000265896	9606.ENSP00000310721	SQLE	CYP7B1	9606	0.808	0	0	0	0.585	0.113	0.111	0.484
9606.ENSP00000267082	9606.ENSP00000402758	ITGB7	PMEL	9606	0.434	0	0	0	0.434	0	0	0
9606.ENSP00000268182	9606.ENSP00000320038	IQGAP1	ARHGAP33	9606	0.407	0	0	0	0	0	0.4	0.053
9606.ENSP00000268182	9606.ENSP00000378699	IQGAP1	CDK1	9606	0.424	0	0	0	0.068	0.314	0	0.169
9606.ENSP00000268182	9606.ENSP00000367817	IQGAP1	PODXL	9606	0.425	0	0	0	0.049	0.328	0	0.172
9606.ENSP00000268182	9606.ENSP00000369400	IQGAP1	NHS	9606	0.439	0	0	0	0.049	0.091	0.4	0.047
9606.ENSP00000288207	9606.ENSP00000306245	CCNB2	FOS	9606	0.527	0	0	0	0	0.062	0	0.516
9606.ENSP00000288207	9606.ENSP00000377492	CCNB2	HMMR	9606	0.888	0	0	0	0.796	0.091	0	0.446
9606.ENSP00000288207	9606.ENSP00000360540	CCNB2	CEP55	9606	0.907	0	0	0	0.811	0	0	0.529
9606.ENSP00000288207	9606.ENSP00000384849	CCNB2	CDKN1A	9606	0.927	0	0	0	0	0.781	0	0.679
9606.ENSP00000288207	9606.ENSP00000378356	CCNB2	KIF20A	9606	0.938	0	0	0	0.842	0	0	0.624
9606.ENSP00000288207	9606.ENSP00000362146	CCNB2	CDCA8	9606	0.974	0	0	0	0.754	0	0.4	0.838
9606.ENSP00000288207	9606.ENSP00000355922	CCNB2	CENPF	9606	0.974	0	0	0	0.828	0	0.4	0.767
9606.ENSP00000288207	9606.ENSP00000364976	CCNB2	CKS2	9606	0.976	0	0	0	0.56	0.797	0	0.759
9606.ENSP00000288207	9606.ENSP00000302530	CCNB2	BUB1	9606	0.998	0	0	0	0.892	0.279	0.4	0.97
9606.ENSP00000288207	9606.ENSP00000378699	CCNB2	CDK1	9606	0.999	0	0	0	0.899	0.882	0.9	0.996
9606.ENSP00000292408	9606.ENSP00000310721	FGFR4	CYP7B1	9606	0.445	0	0	0	0.047	0	0	0.442
9606.ENSP00000292432	9606.ENSP00000357721	HK3	S100A8	9606	0.439	0	0	0	0.429	0.05	0	0.048
9606.ENSP00000293502	9606.ENSP00000449079	SDR9C7	RDH12	9606	0.417	0	0	0	0.196	0	0	0.304
9606.ENSP00000295777	9606.ENSP00000362608	SERPINI1	PIM1	9606	0.422	0	0	0	0	0	0	0.423
9606.ENSP00000297265	9606.ENSP00000494175	CHMP4C	HBB	9606	0.4	0	0	0	0	0	0.4	0
9606.ENSP00000297265	9606.ENSP00000318697	CHMP4C	TUBB6	9606	0.63	0	0	0	0	0.292	0.5	0
9606.ENSP00000297265	9606.ENSP00000360540	CHMP4C	CEP55	9606	0.799	0	0	0	0	0	0	0.799
9606.ENSP00000297265	9606.ENSP00000362146	CHMP4C	CDCA8	9606	0.851	0	0	0	0	0.328	0	0.787
9606.ENSP00000302530	9606.ENSP00000364976	BUB1	CKS2	9606	0.805	0	0	0	0.493	0	0	0.631
9606.ENSP00000302530	9606.ENSP00000377492	BUB1	HMMR	9606	0.909	0	0	0	0.807	0.115	0	0.508
9606.ENSP00000302530	9606.ENSP00000360540	BUB1	CEP55	9606	0.928	0	0	0	0.847	0	0	0.548
9606.ENSP00000302530	9606.ENSP00000378356	BUB1	KIF20A	9606	0.959	0	0	0	0.863	0.314	0	0.601
9606.ENSP00000302530	9606.ENSP00000362146	BUB1	CDCA8	9606	0.971	0	0	0	0.847	0	0	0.818
9606.ENSP00000302530	9606.ENSP00000355922	BUB1	CENPF	9606	0.987	0	0	0	0.871	0	0	0.903
9606.ENSP00000302530	9606.ENSP00000378699	BUB1	CDK1	9606	0.998	0	0	0	0.89	0.354	0.4	0.964
9606.ENSP00000305714	9606.ENSP00000414856	BMP1	SPARCL1	9606	0.419	0	0	0	0	0	0	0.419
9606.ENSP00000306245	9606.ENSP00000420168	FOS	GSTA2	9606	0.42	0	0	0	0	0	0	0.42
9606.ENSP00000306245	9606.ENSP00000364976	FOS	CKS2	9606	0.44	0	0	0	0	0	0	0.44
9606.ENSP00000306245	9606.ENSP00000307508	FOS	CALB2	9606	0.475	0	0	0	0	0.063	0	0.462
9606.ENSP00000306245	9606.ENSP00000362608	FOS	PIM1	9606	0.506	0	0	0	0.08	0.091	0.4	0.132
9606.ENSP00000306245	9606.ENSP00000389600	FOS	TLR6	9606	0.509	0	0	0	0.062	0	0	0.498
9606.ENSP00000306245	9606.ENSP00000378699	FOS	CDK1	9606	0.639	0	0	0	0.051	0.079	0	0.62
9606.ENSP00000306245	9606.ENSP00000384849	FOS	CDKN1A	9606	0.753	0	0	0	0.126	0	0	0.729
9606.ENSP00000306245	9606.ENSP00000379330	FOS	NFATC2	9606	0.998	0	0	0	0	0.939	0.54	0.937
9606.ENSP00000307508	9606.ENSP00000437621	CALB2	HMGA2	9606	0.4	0	0	0	0	0.068	0	0.382
9606.ENSP00000307508	9606.ENSP00000401514	CALB2	DNAH1	9606	0.42	0	0	0	0	0.135	0	0.357
9606.ENSP00000307508	9606.ENSP00000456436	CALB2	CNN2	9606	0.424	0	0	0	0.059	0.133	0	0.351
9606.ENSP00000307508	9606.ENSP00000359319	CALB2	PAX2	9606	0.49	0	0	0	0.055	0	0	0.483
9606.ENSP00000307508	9606.ENSP00000362095	CALB2	SRPX2	9606	0.585	0	0	0	0.058	0	0	0.578
9606.ENSP00000308149	9606.ENSP00000376154	AMZ1	CCDC57	9606	0.521	0	0	0	0.042	0	0	0.52
9606.ENSP00000310557	9606.ENSP00000420040	KCNE3	KCNIP2	9606	0.619	0	0	0	0.055	0	0	0.613
9606.ENSP00000310557	9606.ENSP00000328968	KCNE3	SCN5A	9606	0.892	0	0	0	0	0	0	0.892
9606.ENSP00000317895	9606.ENSP00000376423	RPTN	SPRR2A	9606	0.74	0	0	0	0.15	0	0.5	0.438
9606.ENSP00000318697	9606.ENSP00000456436	TUBB6	CNN2	9606	0.402	0	0	0	0.107	0.257	0	0.171
9606.ENSP00000326671	9606.ENSP00000360317	SLC47A2	CYP2C8	9606	0.434	0	0	0	0.066	0	0	0.419
9606.ENSP00000327890	9606.ENSP00000415743	IL3RA	CD36	9606	0.614	0	0	0	0.137	0	0	0.571
9606.ENSP00000327890	9606.ENSP00000357149	IL3RA	CD1E	9606	0.666	0	0	0	0.042	0	0	0.666
9606.ENSP00000328968	9606.ENSP00000372169	SCN5A	CACNA2D4	9606	0.414	0	0	0	0.067	0.289	0	0.188
9606.ENSP00000328968	9606.ENSP00000368314	SCN5A	NRCAM	9606	0.571	0	0	0	0.055	0	0.5	0.166
9606.ENSP00000328968	9606.ENSP00000420040	SCN5A	KCNIP2	9606	0.707	0	0	0	0.075	0.134	0	0.664
9606.ENSP00000328968	9606.ENSP00000368411	SCN5A	SCNN1D	9606	0.742	0	0	0	0	0	0.72	0.117
9606.ENSP00000330572	9606.ENSP00000481780	MAPK8IP2	MAPK8IP3	9606	0.956	0	0	0	0.067	0.75	0	0.829
9606.ENSP00000338010	9606.ENSP00000419085	IL21R	TIGIT	9606	0.464	0	0	0	0.307	0	0	0.258
9606.ENSP00000343930	9606.ENSP00000426964	KLHL17	YJEFN3	9606	0.429	0	0	0	0.131	0	0	0.37
9606.ENSP00000353720	9606.ENSP00000360317	CES1	CYP2C8	9606	0.444	0	0	0	0.055	0.086	0	0.407
9606.ENSP00000355922	9606.ENSP00000364976	CENPF	CKS2	9606	0.673	0	0	0	0.367	0	0	0.504
9606.ENSP00000355922	9606.ENSP00000377492	CENPF	HMMR	9606	0.927	0	0	0	0.787	0.045	0	0.669
9606.ENSP00000355922	9606.ENSP00000360540	CENPF	CEP55	9606	0.959	0	0	0	0.847	0	0	0.745
9606.ENSP00000355922	9606.ENSP00000378356	CENPF	KIF20A	9606	0.96	0	0	0	0.899	0	0	0.627
9606.ENSP00000355922	9606.ENSP00000362146	CENPF	CDCA8	9606	0.962	0	0	0	0.854	0	0	0.75
9606.ENSP00000355922	9606.ENSP00000378699	CENPF	CDK1	9606	0.978	0	0	0	0.825	0.292	0.4	0.745
9606.ENSP00000357149	9606.ENSP00000389600	CD1E	TLR6	9606	0.466	0	0	0	0	0	0	0.466
9606.ENSP00000357721	9606.ENSP00000389600	S100A8	TLR6	9606	0.58	0	0	0	0.091	0.093	0.5	0.103
9606.ENSP00000357721	9606.ENSP00000415743	S100A8	CD36	9606	0.662	0	0	0	0.167	0.112	0.5	0.193
9606.ENSP00000359258	9606.ENSP00000420168	GCLM	GSTA2	9606	0.54	0	0	0	0.053	0.053	0	0.528
9606.ENSP00000359319	9606.ENSP00000367817	PAX2	PODXL	9606	0.645	0	0	0	0	0	0	0.645
9606.ENSP00000360317	9606.ENSP00000383364	CYP2C8	PLA2G2A	9606	0.655	0	0	0	0.055	0	0.65	0
9606.ENSP00000360317	9606.ENSP00000420168	CYP2C8	GSTA2	9606	0.719	0	0	0	0.091	0.045	0.65	0.185
9606.ENSP00000360540	9606.ENSP00000364976	CEP55	CKS2	9606	0.692	0	0	0	0.432	0	0	0.48
9606.ENSP00000360540	9606.ENSP00000362146	CEP55	CDCA8	9606	0.923	0	0	0	0.819	0	0	0.596
9606.ENSP00000360540	9606.ENSP00000377492	CEP55	HMMR	9606	0.926	0	0	0	0.873	0	0	0.443
9606.ENSP00000360540	9606.ENSP00000378699	CEP55	CDK1	9606	0.957	0	0	0	0.829	0	0	0.759
9606.ENSP00000360540	9606.ENSP00000378356	CEP55	KIF20A	9606	0.962	0	0	0	0.833	0.053	0	0.782
9606.ENSP00000362146	9606.ENSP00000364976	CDCA8	CKS2	9606	0.687	0	0	0	0.542	0	0	0.345
