Cohort,Library,Term,P-value,Adjusted P-value (FDR),Combined Score,Overlapping Genes
KIRC_Male,GO_Biological_Process_2023,"Heparan Sulfate Proteoglycan Biosynthetic Process, Enzymatic Modification (GO:0015015)",6.2898093131455335e-06,0.0010568985368892827,9972.498783119754,"HS3ST3A1, HS3ST1"
KIRC_Male,GO_Biological_Process_2023,Heparan Sulfate Proteoglycan Metabolic Process (GO:0030201),1.0895861205044152e-05,0.0010568985368892827,6918.952591288204,"HS3ST3A1, HS3ST1"
KIRC_Male,GO_Biological_Process_2023,Aminoglycan Biosynthetic Process (GO:0006023),2.928839492649749e-05,0.0017106672193466807,3657.623672658719,"HS3ST3A1, HS3ST1"
KIRC_Male,GO_Biological_Process_2023,Heparan Sulfate Proteoglycan Biosynthetic Process (GO:0015012),3.527148905869445e-05,0.0017106672193466807,3250.0220838564323,"HS3ST3A1, HS3ST1"
KIRC_Male,GO_Biological_Process_2023,Glycosaminoglycan Metabolic Process (GO:0030203),5.264561729676873e-05,0.0020426499511146264,2521.840843132077,"HS3ST3A1, HS3ST1"
KIRC_Male,GO_Biological_Process_2023,Glycosaminoglycan Biosynthetic Process (GO:0006024),0.00022884486091265618,0.007399317169509217,994.7193280076498,"HS3ST3A1, HS3ST1"
KIRC_Male,GO_Biological_Process_2023,Negative Regulation Of Binding (GO:0051100),0.0005031802927902886,0.013945282400188,599.9703993521838,"CDKN1A, HMGA2"
KIRC_Male,GO_Biological_Process_2023,Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900),0.0008513092103094032,0.02001311386763225,425.88058234303134,"CDKN1A, HMGA2"
KIRC_Male,GO_Biological_Process_2023,Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),0.0009284434268489187,0.02001311386763225,402.2644522799101,"HMGA2, ADAM8"
KIRC_Male,GO_Biological_Process_2023,Positive Regulation Of Protein Kinase Activity (GO:0045860),0.001420387564134151,0.027555518744202527,303.37163074605706,"CDKN1A, HMGA2"
KIRC_Male,KEGG_2021_Human,Glycosaminoglycan biosynthesis,0.00019096402907356786,0.00802048922108985,1116.0997871835484,"HS3ST3A1, HS3ST1"
KIRC_Male,KEGG_2021_Human,Transcriptional misregulation in cancer,0.0024712737187823574,0.051896748094429505,208.54707620838735,"CDKN1A, HMGA2"
KIRC_Male,KEGG_2021_Human,MicroRNAs in cancer,0.0063041434540528525,0.07875979928104361,107.93282921110205,"CDKN1A, HMGA2"
KIRC_Male,KEGG_2021_Human,African trypanosomiasis,0.014706952762456068,0.07875979928104361,334.1390605677817,HBB
KIRC_Male,KEGG_2021_Human,Thyroid cancer,0.014706952762456068,0.07875979928104361,334.1390605677817,CDKN1A
KIRC_Male,KEGG_2021_Human,Bladder cancer,0.01628550529596983,0.07875979928104361,293.399847205648,CDKN1A
KIRC_Male,KEGG_2021_Human,Malaria,0.01982916145118511,0.07875979928104361,227.9549801512961,HBB
KIRC_Male,KEGG_2021_Human,Endometrial cancer,0.0229696971452446,0.07875979928104361,188.53710846919242,CDKN1A
KIRC_Male,KEGG_2021_Human,Basal cell carcinoma,0.02492805820599394,0.07875979928104361,169.5318022982446,CDKN1A
KIRC_Male,KEGG_2021_Human,Renal cell carcinoma,0.027273557473830964,0.07875979928104361,150.7626325151401,CDKN1A
KIRC_Female,GO_Biological_Process_2023,AMP Biosynthetic Process (GO:0006167),0.0031960315919264243,0.032958862377323934,2343.4840743955892,NUDT2
KIRC_Female,GO_Biological_Process_2023,Purine Ribonucleoside Triphosphate Biosynthetic Process (GO:0009206),0.0039936462613403625,0.032958862377323934,1751.8590547314027,NUDT2
KIRC_Female,GO_Biological_Process_2023,Purine Ribonucleoside Monophosphate Biosynthetic Process (GO:0009168),0.004392244396163033,0.032958862377323934,1549.43708775113,NUDT2
KIRC_Female,GO_Biological_Process_2023,AMP Metabolic Process (GO:0046033),0.004392244396163033,0.032958862377323934,1549.43708775113,NUDT2
KIRC_Female,GO_Biological_Process_2023,Activation Of NF-kappaB-inducing Kinase Activity (GO:0007250),0.0059852428364459065,0.032958862377323934,1043.434298452164,TNFSF15
KIRC_Female,GO_Biological_Process_2023,Cellular Response To Estradiol Stimulus (GO:0071392),0.0079733565142536,0.032958862377323934,725.5830081396662,SSTR1
KIRC_Female,GO_Biological_Process_2023,Focal Adhesion Assembly (GO:0048041),0.008370561681605555,0.032958862377323934,682.3340060288631,ACTN2
KIRC_Female,GO_Biological_Process_2023,ATP Biosynthetic Process (GO:0006754),0.009957991701556103,0.032958862377323934,547.8577209909951,NUDT2
KIRC_Female,GO_Biological_Process_2023,Regulation Of Synapse Organization (GO:0050807),0.009957991701556103,0.032958862377323934,547.8577209909951,CTTNBP2
KIRC_Female,GO_Biological_Process_2023,Cell-Substrate Junction Assembly (GO:0007044),0.011147105113416074,0.032958862377323934,474.9953903533844,ACTN2
KIRC_Female,KEGG_2021_Human,Riboflavin metabolism,0.0031960315919264243,0.03515634751119067,2343.4840743955892,ACP5
KIRC_Female,KEGG_2021_Human,Pyrimidine metabolism,0.022185389719098877,0.06938034140911709,197.21169430337935,NUDT2
KIRC_Female,KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,0.03039321031347104,0.06938034140911709,130.78433041717327,ACTN2
KIRC_Female,KEGG_2021_Human,Rheumatoid arthritis,0.03660626495698383,0.06938034140911709,102.2049130477516,ACP5
