Cohort,Library,Term,P-value,Adjusted P-value (FDR),Combined Score,Overlapping Genes
KIRC_Male_Top300,GO_Biological_Process_2023,Regulation Of Cellular Ketone Metabolic Process (GO:0010565),0.0008547684066723394,0.4008186094836713,140.50863545826567,"PDK4, FGFR4, CES1"
KIRC_Male_Top300,GO_Biological_Process_2023,Metaphase Plate Congression (GO:0051310),0.0009810632436443602,0.4008186094836713,50.16240764994678,"CENPF, CHMP4C, CDCA8, CEP55, NDC80"
KIRC_Male_Top300,GO_Biological_Process_2023,Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389),0.0018010239847032021,0.4008186094836713,54.183206862867635,"CDKN1A, CENPF, CDK1, CDC25B"
KIRC_Male_Top300,GO_Biological_Process_2023,Carboxylic Acid Biosynthetic Process (GO:0046394),0.001944001714153394,0.4008186094836713,88.67231581712312,"CYP2C9, CYP2C8, PAH"
KIRC_Male_Top300,GO_Biological_Process_2023,Positive Regulation Of Cartilage Development (GO:0061036),0.001944001714153394,0.4008186094836713,88.67231581712312,"PKDCC, BMP1, MDK"
KIRC_Male_Top300,GO_Biological_Process_2023,Epithelial Tube Formation (GO:0072175),0.002176476887111483,0.4008186094836713,270.11980276970104,"PODXL, PAX2"
KIRC_Male_Top300,GO_Biological_Process_2023,Ameboidal-Type Cell Migration (GO:0001667),0.003152527743697455,0.4008186094836713,67.35902330594074,"PDLIM1, ITGB7, IQGAP1"
KIRC_Male_Top300,GO_Biological_Process_2023,Regulation Of Potassium Ion Export Across Plasma Membrane (GO:1903764),0.003232408140997349,0.4008186094836713,189.50882689591276,"KCNE3, KCNIP2"
KIRC_Male_Top300,GO_Biological_Process_2023,Cellular Response To Bacterial Lipopeptide (GO:0071221),0.003232408140997349,0.4008186094836713,189.50882689591276,"CD36, TLR6"
KIRC_Male_Top300,GO_Biological_Process_2023,Glomerular Epithelial Cell Development (GO:0072310),0.003232408140997349,0.4008186094836713,189.50882689591276,"PODXL, IQGAP1"
KIRC_Male_Top300,GO_Biological_Process_2023,Regulation Of Bile Acid Metabolic Process (GO:1904251),0.003232408140997349,0.4008186094836713,189.50882689591276,"FGFR4, CES1"
KIRC_Male_Top300,GO_Biological_Process_2023,Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404),0.004165530926581035,0.47084015698201176,57.347060064705836,"CD36, TLR6, CES1"
KIRC_Male_Top300,GO_Biological_Process_2023,Neuronal Ion Channel Clustering (GO:0045161),0.0059152100733935575,0.47084015698201176,113.01422313945281,"KCNIP2, NRCAM"
