Name,Score,ConsensusRank
HS3ST1,3.289019767482097e-93,1
RNF183,2.836233372335023e-65,2
LINC00973,4.1396496962794146e-12,3
HBB,1.6415065682334788e-08,4
CDKN1A,2.889403063428423e-07,5
HMGA2,4.7348849677868745e-06,6
HS3ST3A1,9.732046836593048e-05,7
ADAM8,0.006196410605848186,8
SP5,1.0,9
PAGE5,1.0,10
AC073842.2,1.0,11
SPARCL1,1.0,12
SQLE,1.0,13
AL355075.2,1.0,14
PIM1,1.0,15
MACC1,1.0,16
SNORD100,1.0,17
MATN3,1.0,18
ARGLU1,1.0,19
SOX7,1.0,20
NUDT11,1.0,21
RBX1P2,1.0,22
SERPINB12,1.0,23
AL590062.1,1.0,24
CYP2C9,1.0,25
MAPK8IP3,1.0,26
FOS,1.0,27
AL023807.1,1.0,28
AL162151.2,1.0,29
NRCAM,1.0,30
KLHL17,1.0,31
MIR4768,1.0,32
TMEM74B,1.0,33
CEACAM19,1.0,34
KCTD16,1.0,35
SEMA3F,1.0,36
AC011447.4,1.0,37
AC005291.2,1.0,38
UHRF2,1.0,39
ATP12A,1.0,40
S100A8,1.0,41
SCGB1D2,1.0,42
AC122134.1,1.0,43
DNHD1,1.0,44
PLXNB1,1.0,45
FJX1,1.0,46
AC007216.1,1.0,47
ATP8B3,1.0,48
C11orf45,1.0,49
DDX12P,1.0,50
AC010536.2,1.0,51
AKR1C7P,1.0,52
CNTNAP1,1.0,53
AL590723.1,1.0,54
AL360181.2,1.0,55
YJEFN3,1.0,56
ZNF888,1.0,57
CEACAM4,1.0,58
HLA-U,1.0,59
TSC22D1,1.0,60
FGFBP2,1.0,61
RN7SL364P,1.0,62
SPACA6,1.0,63
CEP55,1.0,64
BEND5,1.0,65
PODXL,1.0,66
LINC00504,1.0,67
VN1R54P,1.0,68
SCARNA3,1.0,69
PMEL,1.0,70
GSTA2,1.0,71
PLA2G2A,1.0,72
MYOCOS,1.0,73
PDLIM1,1.0,74
AP002802.1,1.0,75
XPOT,1.0,76
CYP7B1,1.0,77
EEF1GP1,1.0,78
ACSM2A,1.0,79
AL627309.7,1.0,80
KIF20A,1.0,81
SNHG25,1.0,82
TREH,1.0,83
TMEM198B,1.0,84
AC103591.3,1.0,85
REPS2,1.0,86
AL450998.1,1.0,87
NMRAL2P,1.0,88
MIR4729,1.0,89
AC130469.1,1.0,90
FMNL1,1.0,91
PAH,1.0,92
RNU1-14P,1.0,93
LINC01871,1.0,94
SPRR2A,1.0,95
SPINT1-AS1,1.0,96
BUB1,1.0,97
AC018638.7,1.0,98
MIR4677,1.0,99
AP006621.2,1.0,100
C2orf66,1.0,101
ME3,1.0,102
NUP62CL,1.0,103
KCNIP2,1.0,104
TCIRG1,1.0,105
GRTP1,1.0,106
CCL13,1.0,107
RNU5B-1,1.0,108
FAAH2,1.0,109
SCNN1D,1.0,110
LINC00887,1.0,111
